scope,aggregation,seed_count,task_count,macro_dual_gain_vs_global_percent,macro_dual_gain_vs_token_percent,macro_token_gain_vs_global_percent,dual_wins_vs_global,dual_wins_vs_both,macro_dual_gain_vs_global_std_percent,macro_dual_gain_vs_token_std_percent,macro_token_gain_vs_global_std_percent
all,seed42,1,10,5.850132989784111,3.9981433815834713,1.862869938127293,10,9,0.0,0.0,0.0
all,seed43,1,10,5.900577834148008,3.1941462938392693,2.717134134279939,10,9,0.0,0.0,0.0
all,two_seed_mean,2,10,5.875355411966059,3.5961448377113703,2.290002036203616,10.0,9.0,0.035669891525611376,0.5685117927981609,0.6040560060244108
JARVIS,seed42,1,6,5.79584427178337,4.139728737311594,1.7087093325144418,6,6,0.0,0.0,0.0
JARVIS,seed43,1,6,5.6977773526639615,3.7395657340288704,1.9328011321455314,6,5,0.0,0.0,0.0
JARVIS,two_seed_mean,2,6,5.746810812223666,3.939647235670232,1.8207552323299865,6.0,5.5,0.06934378351940633,0.28295797320118843,0.15845683112744052
MP,seed42,1,4,5.931566066785223,3.7857653479912883,2.09411084654657,4,3,0.0,0.0,0.0
MP,seed43,1,4,6.2047785563740785,2.376017133554868,3.8936336374815497,4,4,0.0,0.0,0.0
MP,two_seed_mean,2,4,6.068172311579651,3.080891240773078,2.99387224201406,4.0,3.5,0.19319040409313887,0.9968425221936198,1.2724547683698662
